quarter,age_band,population
2022-Q1,0-4,1512953
2022-Q1,5-9,1612064
2022-Q1,10-14,1634189
2022-Q1,15-19,1520587
2022-Q1,20-24,1630863
2022-Q1,25-29,1818158
2022-Q1,30-34,1907336
2022-Q1,35-39,1885616
2022-Q1,40-44,1691254
2022-Q1,45-49,1628946
2022-Q1,50-54,1642714
2022-Q1,55-59,1538146
2022-Q1,60-64,1484999
2022-Q1,65-69,1296600
2022-Q1,70-74,1144994
2022-Q1,75-79,856722
2022-Q1,80+,1106836
2022-Q2,0-4,1513423
2022-Q2,5-9,1612012
2022-Q2,10-14,1638663
2022-Q2,15-19,1533827
2022-Q2,20-24,1639337
2022-Q2,25-29,1828028
2022-Q2,30-34,1916237
2022-Q2,35-39,1894959
2022-Q2,40-44,1705115
2022-Q2,45-49,1622618
2022-Q2,50-54,1653781
2022-Q2,55-59,1534870
2022-Q2,60-64,1492475
2022-Q2,65-69,1302946
2022-Q2,70-74,1144915
2022-Q2,75-79,872857
2022-Q2,80+,1112658
2022-Q3,0-4,1514860
2022-Q3,5-9,1610773
2022-Q3,10-14,1642776
2022-Q3,15-19,1554273
2022-Q3,20-24,1667453
2022-Q3,25-29,1849329
2022-Q3,30-34,1930171
2022-Q3,35-39,1904143
2022-Q3,40-44,1722933
2022-Q3,45-49,1620619
2022-Q3,50-54,1660421
2022-Q3,55-59,1532329
2022-Q3,60-64,1498456
2022-Q3,65-69,1309022
2022-Q3,70-74,1147479
2022-Q3,75-79,886634
2022-Q3,80+,1117643
2022-Q4,0-4,1514552
2022-Q4,5-9,1610523
2022-Q4,10-14,1647466
2022-Q4,15-19,1569064
2022-Q4,20-24,1682442
2022-Q4,25-29,1872404
2022-Q4,30-34,1948250
2022-Q4,35-39,1915609
2022-Q4,40-44,1742218
2022-Q4,45-49,1619370
2022-Q4,50-54,1667563
2022-Q4,55-59,1530366
2022-Q4,60-64,1505352
2022-Q4,65-69,1315941
2022-Q4,70-74,1151027
2022-Q4,75-79,901388
2022-Q4,80+,1126750
2023-Q1,0-4,1513257
2023-Q1,5-9,1610588
2023-Q1,10-14,1652709
2023-Q1,15-19,1594661
2023-Q1,20-24,1719061
2023-Q1,25-29,1903872
2023-Q1,30-34,1968768
2023-Q1,35-39,1928354
2023-Q1,40-44,1762002
2023-Q1,45-49,1617925
2023-Q1,50-54,1674312
2023-Q1,55-59,1527799
2023-Q1,60-64,1511359
2023-Q1,65-69,1321981
